player_id,series_id,game_id,agent,agent_role,kills,deaths,assists,fk,fd,clutches,aces,adr,points
40,8,17,Kayo,Unknown,13.0,16.0,11.0,1.0,2.0,1,0,117.0,24.200000000000003
47,8,17,Sova,Initiator,12.0,20.0,1.0,3.0,2.0,0,0,141.0,20.6
26,8,17,Killjoy,Sentinel,9.0,16.0,6.0,1.0,2.0,0,0,112.0,15.200000000000001
18,8,17,Jett,Duelist,10.0,20.0,3.0,3.0,6.0,0,0,96.0,11.100000000000001
29,8,18,Fade,Initiator,23.0,17.0,8.0,3.0,2.0,0,0,173.0,39.8
12,8,18,Cypher,Sentinel,19.0,17.0,7.0,2.0,1.0,0,0,144.0,31.4
46,8,18,Omen,Controller,14.0,15.0,7.0,1.0,1.0,2,0,119.0,26.9
54,8,18,Gekko,Initiator,11.0,19.0,3.0,1.0,3.0,0,0,85.0,10.5
50,8,18,Neon,Duelist,9.0,22.0,8.0,5.0,5.0,0,0,89.0,15.9
26,8,18,Viper,Controller,20.0,15.0,7.0,3.0,5.0,0,0,169.0,33.900000000000006
47,8,18,Fade,Initiator,22.0,16.0,5.0,1.0,1.0,0,0,164.0,33.900000000000006
41,8,18,Omen,Controller,13.0,10.0,8.0,0.0,0.0,1,0,96.0,23.6
40,8,18,Killjoy,Sentinel,18.0,14.0,3.0,0.0,2.0,0,0,136.0,24.1
18,8,18,Raze,Duelist,17.0,21.0,3.0,8.0,4.0,0,0,167.0,36.7
54,8,19,Gekko,Initiator,21.0,10.0,1.0,1.0,2.0,1,0,145.0,33.0
12,8,19,Cypher,Sentinel,21.0,14.0,4.0,2.0,1.0,0,0,172.0,36.2
29,8,19,Breach,Initiator,16.0,14.0,9.0,3.0,3.0,0,0,136.0,30.1
46,8,19,Omen,Controller,10.0,13.0,8.0,0.0,2.0,0,0,93.0,14.8
50,8,19,Neon,Duelist,11.0,20.0,6.0,4.0,4.0,1,0,121.0,22.1
40,8,19,Breach,Initiator,16.0,14.0,8.0,1.0,0.0,0,0,139.0,28.9
26,8,19,Cypher,Sentinel,18.0,17.0,3.0,3.0,3.0,0,0,144.0,28.4
41,8,19,Omen,Controller,9.0,15.0,7.0,1.0,1.0,0,0,90.0,15.0
18,8,19,Raze,Duelist,18.0,18.0,3.0,6.0,4.0,0,0,146.0,33.1
47,8,19,Gekko,Initiator,10.0,15.0,3.0,1.0,2.0,1,0,95.0,15.5
27,9,20,Raze,Duelist,23.0,16.0,1.0,7.0,4.0,0,0,160.0,41.5
38,9,20,Viper,Controller,18.0,13.0,7.0,3.0,2.0,1,0,159.0,36.9
52,9,20,Gekko,Initiator,17.0,15.0,11.0,1.0,2.0,0,0,130.0,28.0
13,9,20,Brimstone,Controller,17.0,15.0,9.0,0.0,0.0,0,0,144.0,28.4
4,9,20,Fade,Initiator,10.0,13.0,16.0,2.0,2.0,1,0,64.0,21.9
3,9,20,Gekko,Initiator,20.0,17.0,6.0,1.0,1.0,1,0,164.0,33.900000000000006
31,9,20,Fade,Initiator,13.0,13.0,15.0,0.0,0.0,1,0,101.0,26.1
2,9,20,Raze,Duelist,17.0,20.0,7.0,5.0,3.0,0,0,153.0,32.8
5,9,20,Brimstone,Controller,13.0,19.0,9.0,1.0,3.0,0,0,121.0,19.1
28,9,20,Viper,Controller,9.0,16.0,1.0,3.0,6.0,1,0,68.0,10.3
38,9,21,Omen,Controller,16.0,8.0,10.0,1.0,1.0,1,0,164.0,36.400000000000006
27,9,21,Neon,Duelist,19.0,10.0,3.0,6.0,2.0,0,0,186.0,44.1
13,9,21,Breach,Initiator,17.0,9.0,9.0,1.0,0.0,0,0,168.0,35.8
52,9,21,Cypher,Sentinel,12.0,11.0,2.0,1.0,1.0,0,0,115.0,20.0
4,9,21,Sova,Initiator,6.0,10.0,9.0,3.0,1.0,0,0,85.0,19.0
2,9,21,Kayo,Unknown,10.0,13.0,10.0,1.0,1.0,0,0,133.0,22.8
31,9,21,Sova,Initiator,13.0,13.0,4.0,1.0,1.0,0,0,134.0,22.9
28,9,21,Omen,Controller,11.0,15.0,10.0,0.0,3.0,0,0,128.0,18.3
3,9,21,Killjoy,Sentinel,7.0,15.0,4.0,2.0,3.0,0,0,92.0,11.700000000000001
5,9,21,Jett,Duelist,7.0,14.0,2.0,1.0,4.0,0,0,90.0,8.0
7,10,22,Yoru,Duelist,18.0,18.0,4.0,4.0,2.0,0,0,182.0,35.2
49,10,22,Omen,Controller,13.0,16.0,10.0,0.0,2.0,0,0,149.0,22.9
